URL,Port,Infoerror,Commonname,Internal Expiration,External Expiration,WAF Type,Issuer,Days,Copytocust,Checked,Supported by,BU,CDB,Lifecycle,Installer,Ticket
"bctlphcbprod01.noam.lnrm.net","443","good","bctlphcbprod01.noam.lnrm.net","2022-06-03","","","SomeOrganization","1.75","N","2022-05-30 07:58:17 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=bctlphcbprod01.noam.lnrm.net","","",""
"bctlphcbprod02.noam.lnrm.net","443","good","bctlphcbprod02.noam.lnrm.net","2022-06-03","","","SomeOrganization","1.75","N","2022-05-30 07:58:17 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=bctlphcbprod02.noam.lnrm.net","","",""
"consumer.risk.lexisnexis.com","443","good","consumer.risk.lexisnexis.com","2022-06-03","2023-05-02","On Prem","Trustwave Holdings","1.75","N","2022-06-01 04:58:26 ","MBSDevCD@risk.lexisnexis.com","INF","https://cdb.rs.lexisnexis.net/ssl/index.php?q=consumer.risk.lexisnexis.com","Prod","ris-gloappinf@lexisnexisrisk.com","IOG-21837/05-07-22"
"iqcpmdev.lexisnexisrisk.com","443","bad 6","iqcpmdev.lexisnexisrisk.com","2022-06-03","","","DigiCert Inc","1.75","N","2021-06-04 23:19:05 OLD, probably not a valid cert","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=iqcpmdev.lexisnexisrisk.com","","",""
"devl.coplogic.com","443","bad 7","OPNsense.localdomain","2022-06-03","","","OPNsense self-signed web certi","1.75","N","2022-06-01 00:12:44 ","coplogic.engineering@risk.lexisnexis.com","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=devl.coplogic.com","","",""
"eventum.coplogic.com","443","bad 7","OPNsense.localdomain","2022-06-03","","","OPNsense self-signed web certi","1.75","N","2022-06-01 00:39:36 ","coplogic.engineering@risk.lexisnexis.com","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=eventum.coplogic.com","","",""
"ftp.coplogic.com","443","bad 7","OPNsense.localdomain","2022-06-03","","","OPNsense self-signed web certi","1.75","N","2022-06-01 00:47:20 ","coplogic.engineering@risk.lexisnexis.com","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=ftp.coplogic.com","","",""
"svn.coplogic.com","443","bad 7","OPNsense.localdomain","2022-06-03","","","OPNsense self-signed web certi","1.75","N","2022-06-01 04:54:51 ","coplogic.engineering@risk.lexisnexis.com","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=svn.coplogic.com","","",""
"wiki.coplogic.com","443","bad 7","OPNsense.localdomain","2022-06-03","","","OPNsense self-signed web certi","1.75","N","2022-06-01 05:52:59 ","coplogic.engineering@risk.lexisnexis.com","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=wiki.coplogic.com","","",""
"bctwpokcweb200.noam.lnrm.net","443","good","BCTWPOKCWEB200.NOAM.LNRM.net","2022-06-05","","","BCTWPOKCWEB200.NOAM.LNRM.net","3.75","N","2022-05-30 09:03:30 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=bctwpokcweb200.noam.lnrm.net","","",""
"espsso-sign-prd.risk.lexisnexis.com","443","bad 6","&nbsp;","2022-06-08","","","Trustwave Holdings, Inc.","6.75","Y","2022-06-01 07:03:44 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=espsso-sign-prd.risk.lexisnexis.com","Prod","espteam@lexisnexis.com",""
